                   10C    20C    30C     40C     50C
---------------  -----  -----  -----  ------  ------
K_M (mM)          1.19   1.18   1.43    1.58    1.88
K_M error         0.1    0.1    0.07    0.06    0.11
k_cat (s^{-1})    8.79  23.12  74.03  170.51  323.63
k_cat error       0.54   1.42   3.07    5.71   16.32
k_cat/K_M         7.4   19.51  51.64  108.2   171.88
k_cat/K_M error   0.75   1.98   3.38    5.62   13.09
