                   10C    20C    30C     40C     50C
---------------  -----  -----  -----  ------  ------
K_M (mM)          1.64   2.01   2.02    2.3     2.63
K_M error         0.16   0.3    0.09    0.09    0.24
k_cat (s^{-1})   10.35  32.59  80.87  205.87  392.88
k_cat error       0.87   4.37   3.11    7.69   32.92
k_cat/K_M         6.3   16.24  39.95   89.36  149.62
k_cat/K_M error   0.81   3.27   2.3     4.94   18.36
