                   10C    20C    30C    40C     50C
---------------  -----  -----  -----  -----  ------
K_M (mM)          2.66   2.73   2.83   2.89    3.84
K_M error         0.2    0.4    0.22   0.13    0.14
k_cat (s^{-1})    1.76   4.08  16.89  86.27  183.15
k_cat error       0.12   0.56   1.26   3.54    6.3
k_cat/K_M         0.66   1.49   5.97  29.82   47.67
k_cat/K_M error   0.07   0.3    0.65   1.78    2.36
